                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1538,                0.87917,                 1.2314,                0.58996,                0.72835,                0.68698,                0.41663,                 1.1039,                0.75915,                 1.1886,              0.0023977,              0.0023977,              0.0023977
                     36,                 1.1504,                0.86898,                 1.2312,                0.60128,                0.71755,                0.69333,                0.41995,                 1.0941,                0.73968,                 1.1925,              0.0021405,              0.0021405,              0.0021405
                     37,                 1.1392,                0.85871,                  1.228,                0.60877,                0.71295,                0.69345,                0.41722,                 1.0999,                0.74644,                 1.1918,              0.0018948,              0.0018948,              0.0018948
                     38,                 1.1311,                0.85167,                  1.221,                 0.5972,                0.72424,                0.69595,                0.42174,                 1.0815,                0.73501,                 1.1817,              0.0016615,              0.0016615,              0.0016615
                     39,                 1.1196,                0.84021,                 1.2123,                0.61971,                0.70419,                0.69594,                0.42376,                 1.0758,                0.72779,                 1.1776,              0.0014416,              0.0014416,              0.0014416
                     40,                 1.1039,                0.82711,                 1.2091,                0.59205,                0.71585,                0.68945,                0.42194,                  1.078,                0.72896,                  1.186,               0.001236,               0.001236,               0.001236
                     41,                 1.0999,                0.82728,                 1.2027,                0.60608,                 0.7056,                0.69467,                0.42729,                 1.0753,                0.72943,                 1.1826,              0.0010454,              0.0010454,              0.0010454
                     42,                 1.0911,                0.81614,                 1.1983,                0.61208,                0.71572,                0.70268,                0.42793,                  1.072,                0.72193,                 1.1744,             0.00087058,             0.00087058,             0.00087058
                     43,                 1.0866,                0.80557,                 1.1959,                0.60971,                0.71575,                0.70366,                0.42949,                 1.0642,                0.71963,                  1.169,             0.00071228,             0.00071228,             0.00071228
                     44,                 1.0753,                0.80218,                 1.1869,                0.61031,                0.71656,                 0.7047,                0.42889,                 1.0645,                0.71775,                 1.1726,             0.00057111,             0.00057111,             0.00057111
                     45,                 1.0681,                0.79917,                 1.1811,                0.59987,                0.72012,                0.70162,                0.42849,                 1.0666,                0.71681,                 1.1733,             0.00044761,             0.00044761,             0.00044761
                     46,                 1.0633,                0.79263,                  1.182,                0.60814,                0.71317,                0.70292,                0.43065,                 1.0616,                0.71236,                 1.1707,             0.00034227,             0.00034227,             0.00034227
                     47,                 1.0614,                0.78772,                 1.1788,                0.61337,                0.71574,                0.70705,                0.43014,                 1.0626,                0.71062,                 1.1731,             0.00025551,             0.00025551,             0.00025551
                     48,                 1.0617,                0.79154,                 1.1804,                0.60995,                0.71846,                0.70675,                0.43154,                 1.0613,                0.70987,                 1.1719,             0.00018768,             0.00018768,             0.00018768
                     49,                 1.0494,                0.78501,                 1.1781,                0.61692,                0.71156,                0.70574,                0.43229,                 1.0608,                0.71017,                 1.1687,             0.00013903,             0.00013903,             0.00013903
                     50,                 1.0632,                0.78791,                 1.1805,                0.61889,                 0.7087,                0.70523,                0.43239,                 1.0582,                0.70887,                 1.1691,             0.00010977,             0.00010977,             0.00010977
